trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_net,RT_zscore,subject_file,schedule
9,16:49.0,FALSE,LEFT,32832,0,0,0,0,FALSE,31332,7.516960683,1611166533_64.csv,schedule_7
10,16:53.9,FALSE,LEFT,5096,0,0,0,0,FALSE,3596,0.366107394,1611166533_64.csv,schedule_7
11,16:58.5,FALSE,LEFT,4072,0,0,0,0,FALSE,2572,0.102101273,1611166533_64.csv,schedule_7
12,17:08.0,FALSE,LEFT,9825,0,1,1,0,FALSE,8325,1.585330974,1611166533_64.csv,schedule_7
13,17:10.0,TRUE,RIGHT,3158,1,0,1,0,FALSE,1658,-0.133544815,1611166533_64.csv,schedule_7
14,17:12.7,FALSE,LEFT,2841,0,0,0,0,FALSE,1341,-0.215273272,1611166533_64.csv,schedule_7
15,17:15.4,FALSE,LEFT,2616,0,0,0,0,FALSE,1116,-0.27328243,1611166533_64.csv,schedule_7
16,17:18.0,FALSE,LEFT,2640,0,0,0,0,FALSE,1140,-0.267094786,1611166533_64.csv,schedule_7
17,17:20.6,FALSE,LEFT,2576,0,0,0,0,FALSE,1076,-0.283595169,1611166533_64.csv,schedule_7
18,17:28.1,FALSE,LEFT,6272,0,0,0,0,FALSE,4772,0.669301924,1611166533_64.csv,schedule_7
19,17:29.3,FALSE,LEFT,2455,0,0,0,0,FALSE,955,-0.314791205,1611166533_64.csv,schedule_7
20,17:32.4,TRUE,RIGHT,3033,0,0,0,0,FALSE,1533,-0.165772125,1611166533_64.csv,schedule_7
21,17:35.2,FALSE,LEFT,2767,0,0,0,0,FALSE,1267,-0.23435184,1611166533_64.csv,schedule_7
22,17:41.5,FALSE,LEFT,5338,0,1,1,0,FALSE,3838,0.428499466,1611166533_64.csv,schedule_7
23,17:43.4,TRUE,RIGHT,2934,0,0,0,0,FALSE,1434,-0.191296154,1611166533_64.csv,schedule_7
24,17:46.1,FALSE,LEFT,2721,0,0,0,0,FALSE,1221,-0.24621149,1611166533_64.csv,schedule_7
25,17:49.1,FALSE,LEFT,3041,0,0,0,0,FALSE,1541,-0.163709577,1611166533_64.csv,schedule_7
26,17:51.6,FALSE,LEFT,2383,0,0,0,0,FALSE,883,-0.333354135,1611166533_64.csv,schedule_7
27,17:54.0,FALSE,LEFT,2496,0,0,0,0,FALSE,996,-0.304220647,1611166533_64.csv,schedule_7
28,17:56.7,TRUE,RIGHT,2648,1,0,1,0,FALSE,1148,-0.265032238,1611166533_64.csv,schedule_7
29,17:59.5,FALSE,LEFT,2816,0,1,1,0,FALSE,1316,-0.221718734,1611166533_64.csv,schedule_7
30,18:04.0,FALSE,LEFT,3016,1,0,0,1,FALSE,1516,-0.170155039,1611166533_64.csv,schedule_7
31,18:05.2,FALSE,LEFT,2608,0,0,0,0,FALSE,1108,-0.275344977,1611166533_64.csv,schedule_7
32,18:08.2,FALSE,LEFT,2840,0,0,0,0,FALSE,1340,-0.215531091,1611166533_64.csv,schedule_7
33,18:10.4,TRUE,RIGHT,2424,0,0,0,0,FALSE,924,-0.322783577,1611166533_64.csv,schedule_7
34,18:12.7,TRUE,RIGHT,2305,0,0,0,0,FALSE,805,-0.353463976,1611166533_64.csv,schedule_7
35,18:15.1,FALSE,LEFT,2335,0,0,0,0,FALSE,835,-0.345729422,1611166533_64.csv,schedule_7
36,18:17.7,TRUE,RIGHT,2640,0,0,0,0,FALSE,1140,-0.267094786,1611166533_64.csv,schedule_7
37,18:20.1,FALSE,LEFT,2416,0,0,0,0,FALSE,916,-0.324846125,1611166533_64.csv,schedule_7
38,18:22.6,TRUE,RIGHT,2564,1,0,1,0,FALSE,1064,-0.28668899,1611166533_64.csv,schedule_7
39,18:25.2,FALSE,LEFT,2500,0,0,0,0,FALSE,1000,-0.303189373,1611166533_64.csv,schedule_7
40,18:28.0,TRUE,RIGHT,2824,0,0,0,0,FALSE,1324,-0.219656186,1611166533_64.csv,schedule_7
41,18:30.7,FALSE,LEFT,2568,0,1,1,0,FALSE,1068,-0.285657717,1611166533_64.csv,schedule_7
42,18:32.8,FALSE,LEFT,2248,0,0,0,0,FALSE,748,-0.368159629,1611166533_64.csv,schedule_7
43,18:35.7,FALSE,LEFT,2888,0,0,0,0,FALSE,1388,-0.203155804,1611166533_64.csv,schedule_7
