schedule,subject_id,n_trials,Ep_pub,Ep_fix,Elogp_pub,Elogp_fix
schedule_1,schedule_1/1614003721_2.csv,100,0.682519105529288,0.673850722525987,-0.570958841479923,-0.584733165719667
schedule_1,schedule_1/1614004252_81.csv,100,0.685479538363239,0.682801749104791,-0.577525810427567,-0.577558904641115
schedule_1,schedule_1/1614005687_8.csv,100,0.641696245189245,0.615845192746502,-0.628201704584698,-0.68646161624573
schedule_1,schedule_1/1614005759_89.csv,100,0.642931870288683,0.648518013035444,-0.607371250919853,-0.578250650731056
schedule_1,schedule_1/1614006852_51.csv,100,0.736905928887653,0.751381761485486,-0.464332529306038,-0.441060754604097
schedule_1,schedule_1/1614008251_47.csv,100,0.779236129532773,0.770409346366312,-0.35896373519923,-0.371648042847637
schedule_1,schedule_1/1614008900_37.csv,100,0.666028486508749,0.663127348433188,-0.556809854380134,-0.558095608145419
schedule_1,schedule_1/1614011752_33.csv,100,0.747835406390996,0.74808244480941,-0.42444326574351,-0.427733345069135
schedule_1,schedule_1/1614011974_26.csv,100,0.706331619236812,0.703386383473121,-0.488524919508474,-0.493964901868788
schedule_1,schedule_1/1614012589_33.csv,100,0.61344636066451,0.613485813283313,-0.724950208232264,-0.733677240643292
schedule_1,schedule_1/1614013771_5.csv,100,0.620537987786352,0.614729340052269,-0.643777122608223,-0.635954600647116
schedule_1,schedule_1/1614013962_46.csv,100,0.658694906506129,0.661594577792174,-0.616937301659685,-0.610091313452759
schedule_1,schedule_1/1614014826_48.csv,100,0.625082692019728,0.619285268274928,-0.661161917122038,-0.664224464375203
schedule_1,schedule_1/1614015541_26.csv,100,0.619521889772663,0.630735137228335,-0.633001795259781,-0.579749240382697
schedule_1,schedule_1/1614016605_62.csv,100,0.464475987919031,0.478069661290672,-1.06780838834949,-1.03324115412395
schedule_1,schedule_1/1614016903_39.csv,100,0.517578683297153,0.532262468657595,-0.926640142598462,-0.873922555975868
schedule_1,schedule_1/1614018012_93.csv,100,0.70358570511798,0.700834252504381,-0.5185263129342,-0.519660116022797
schedule_1,schedule_1/1614018790_60.csv,100,0.587888867416097,0.605071956555701,-0.789257784923948,-0.748139757963222
schedule_1,schedule_1/1614020320_88.csv,100,0.5376001108626,0.540500485563614,-0.862771062147815,-0.859135741616975
schedule_1,schedule_1/1614020471_96.csv,100,0.675078995925105,0.67210466867176,-0.570162727138793,-0.573314205789513
schedule_1,schedule_1/1614022554_87.csv,100,0.696321677996459,0.681756007679718,-0.521086702899069,-0.543296458312096
schedule_1,schedule_1/1614025118_49.csv,100,0.678955585776889,0.655727559476955,-0.512835251735881,-0.547194191690053
schedule_1,schedule_1/1614025170_74.csv,100,0.801247453613613,0.818652674619009,-0.324624071757098,-0.30245392469026
schedule_1,schedule_1/1614027992_2.csv,100,0.566786127900558,0.587242808206024,-0.84738207902752,-0.795313105382403
schedule_1,schedule_1/1614028043_11.csv,100,0.651913834797109,0.652965542510025,-0.610697580412274,-0.606585154075643
schedule_1,schedule_1/1614029752_10.csv,100,0.671307627157534,0.651137310543522,-0.558157850218524,-0.587406999146177
schedule_1,schedule_1/1614032094_54.csv,100,0.665028960052827,0.665218289371053,-0.599896969739045,-0.610217550125467
schedule_1,schedule_1/1614032575_10.csv,100,0.631280525358901,0.634096934938471,-0.620014781456715,-0.613082137302426
schedule_1,schedule_1/1614033957_36.csv,100,0.666352758285966,0.668887192292637,-0.61063122003724,-0.616864032552754
schedule_1,schedule_1/1614035068_13.csv,100,0.634212021475873,0.62260920492981,-0.629509402566724,-0.647954185578641
schedule_1,schedule_1/1614038756_19.csv,100,0.79452196910282,0.806128159842413,-0.3349961687658,-0.320263508005462
schedule_1,schedule_1/1614044629_35.csv,100,0.527707584176003,0.533527734415502,-0.866177572956536,-0.844072215755849
schedule_1,schedule_1/1614044906_29.csv,100,0.697034939161015,0.67858496103383,-0.528461023072981,-0.537467359196433
schedule_1,schedule_1/1614045729_79.csv,100,0.685004026777992,0.690661129615194,-0.540274856480718,-0.527484721596857
schedule_1,schedule_1/1614047069_36.csv,100,0.417027282958031,0.414106100498724,-1.13455936227519,-1.13927547873101
schedule_1,schedule_1/1614048623_3.csv,100,0.623165951858057,0.619859989844885,-0.706685005098675,-0.710309606423455
schedule_1,schedule_1/1614049133_37.csv,100,0.525215234094596,0.522210448296071,-0.842390716097897,-0.836410586846382
schedule_1,schedule_1/1614052305_90.csv,100,0.660187301334825,0.669952749598197,-0.605933992599124,-0.568189236010539
schedule_1,schedule_1/1614058246_77.csv,100,0.623954844368295,0.615302112471445,-0.63905167603979,-0.647637168526661
schedule_1,schedule_1/1614060017_45.csv,100,0.575647005015786,0.581409295918898,-0.730265823037603,-0.717883197104999
schedule_1,schedule_1/1614088889_95.csv,100,0.58942555597512,0.592324087145692,-0.689710941475431,-0.681271304455947
schedule_1,schedule_1/1614088954_50.csv,100,0.645514413856545,0.651318903879993,-0.644041793373958,-0.62850664720054
schedule_1,schedule_1/1614089284_66.csv,100,0.689064870510467,0.696212369558597,-0.532185452070867,-0.501899150858104
schedule_1,schedule_1/1614089322_19.csv,100,0.653245110627357,0.647584740313671,-0.591949261068342,-0.589282517026179
schedule_1,schedule_1/1614089846_46.csv,100,0.594464556540601,0.600673537021017,-0.721065658360856,-0.713378855618356
schedule_1,schedule_1/1614090152_25.csv,100,0.642624040078014,0.636880151342029,-0.636827725805709,-0.641095538469655
schedule_1,schedule_1/1614090824_17.csv,100,0.596676761191665,0.608240937748884,-0.757374212162575,-0.733096648323454
schedule_1,schedule_1/1614090874_80.csv,100,0.747239450831281,0.753084361701457,-0.44576566180236,-0.425302735739169
schedule_1,schedule_1/1614091997_15.csv,100,0.636069890141845,0.644676169544072,-0.686495876789521,-0.684190876894255
schedule_1,schedule_1/1614092501_95.csv,100,0.696399934136965,0.673435127522436,-0.509531651577173,-0.546200812446573
schedule_2,schedule_2/1590419463_8.csv,100,0.646167771895064,0.654858637137739,-0.64938918360114,-0.639037273696104
schedule_2,schedule_2/1590419470_61.csv,100,0.524342872634192,0.530776042320765,-0.871699445553823,-0.849130524409126
schedule_2,schedule_2/1590419477_51.csv,100,0.615209794584286,0.632505075873719,-0.695415994101025,-0.659002919778956
schedule_2,schedule_2/1590419486_14.csv,100,0.652000823457365,0.66649726684165,-0.619139035990273,-0.601461212813596
schedule_2,schedule_2/1590419494_67.csv,100,0.52279728937708,0.534375156527967,-0.897992462878174,-0.882513002077142
schedule_2,schedule_2/1590419506_68.csv,100,0.43147464298357,0.440272927922758,-1.08182792566793,-1.05698932863429
schedule_2,schedule_2/1590419537_42.csv,100,0.553132698589447,0.567510214500323,-0.824079920924923,-0.791481643512802
schedule_2,schedule_2/1590419649_7.csv,100,0.543148144713749,0.554698141181072,-0.916268989358698,-0.896719385144096
