diagram,split,stratum,n_bins,strategy,bin,lo,hi,n,predicted,empirical,gap,emp_lo,emp_hi,n_boot
doubled,training,all,100,uniform,59,0.59,0.6,427,0.5949610231196087,0.5644028103044496,-0.030558212815159136,0.5122520361151142,0.6125377954124189,500
doubled,training,all,100,uniform,60,0.6,0.61,516,0.6055394932446744,0.5968992248062015,-0.008640268438472876,0.5533420971996718,0.6473963052451425,500
doubled,training,all,100,uniform,61,0.61,0.62,1124,0.6148774387968264,0.608540925266904,-0.006336513529922483,0.5752039705928294,0.6365231258760948,500
doubled,training,all,100,uniform,62,0.62,0.63,1520,0.6252131646440934,0.6506578947368421,0.025444730092748724,0.624836648553434,0.6759355935075695,500
doubled,training,all,100,uniform,63,0.63,0.64,2128,0.6351937448722614,0.7109962406015038,0.07580249572924236,0.6850665842138719,0.7336068147991984,500
doubled,training,all,100,uniform,64,0.64,0.65,3140,0.6451459493648609,0.7624203821656051,0.11727443280074423,0.7386105695235282,0.7854181757277325,500
doubled,training,all,100,uniform,65,0.65,0.66,3009,0.6547350782295507,0.8521103356596876,0.19737525743013695,0.8325930368371504,0.8698619727439849,500
doubled,training,all,100,uniform,66,0.66,0.67,2305,0.664703917711355,0.6958785249457701,0.03117460723441512,0.6667905602759713,0.728343493327838,500
doubled,training,all,100,uniform,67,0.67,0.68,10671,0.6756059422574077,0.45234748383469214,-0.22325845842271552,0.4284671255316425,0.47421380993054313,500
doubled,training,all,100,uniform,68,0.68,0.6900000000000001,13915,0.6842996254038155,0.3884297520661157,-0.2958698733376998,0.37294358736466915,0.4043191032084178,500
doubled,training,all,100,uniform,69,0.6900000000000001,0.7000000000000001,2631,0.6949720797874034,0.49144811858608894,-0.20352396120131444,0.4671660547203926,0.5132754170861121,500
doubled,training,all,100,uniform,70,0.7000000000000001,0.71,2492,0.705167568301887,0.4891653290529695,-0.21600223924891748,0.466557673840592,0.5079732810377088,500
doubled,training,all,100,uniform,71,0.71,0.72,2203,0.7149053703006362,0.5102133454380391,-0.20469202486259708,0.486393012549623,0.5335084156000514,500
doubled,training,all,100,uniform,72,0.72,0.73,1888,0.7248883252029776,0.5195974576271186,-0.20529086757585902,0.49525147862836955,0.5436347688497524,500
doubled,training,all,100,uniform,73,0.73,0.74,1812,0.7349744283222909,0.49724061810154524,-0.23773381022074563,0.47418081554363656,0.5212542521012772,500
doubled,training,all,100,uniform,74,0.74,0.75,1437,0.7450444163007722,0.5407098121085595,-0.20433460419221272,0.5110130998617602,0.5674211556845479,500
doubled,training,all,100,uniform,75,0.75,0.76,1501,0.7550628994040518,0.5529646902065289,-0.20209820919752286,0.5242488764547588,0.583921730408335,500
doubled,training,all,100,uniform,76,0.76,0.77,1723,0.7650556197814795,0.5977945443993036,-0.16726107538217594,0.5721254534293209,0.6220029216963702,500
